years,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CMCC-ESM2,CNRM-CM6-1,CNRM-ESM2-1,EC-Earth3,FGOALS-g3,GFDL-ESM4,GISS-E2-1-G,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MIROC-ES2L,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM,NorESM2-MM,mme-mean,mme-median,mme-pct25,mme-pct75
1950.0,14.0,9.0,12.0,7.0,6.0,10.0,8.0,10.0,14.0,11.0,12.0,17.0,15.0,17.0,6.0,11.0,20.0,9.0,16.0,7.0,8.0,13.0,11.454545454545455,11.0,8.25,14.0
1951.0,13.0,16.0,10.0,10.0,9.0,15.0,11.0,9.0,8.0,3.0,17.0,13.0,15.0,11.0,7.0,8.0,7.0,9.0,13.0,11.0,28.0,18.0,11.863636363636363,11.0,9.0,14.5
1952.0,16.0,9.0,10.0,8.0,13.0,5.0,4.0,5.0,15.0,6.0,12.0,5.0,10.0,16.0,8.0,9.0,8.0,7.0,16.0,9.0,7.0,14.0,9.636363636363637,9.0,7.0,12.75
1953.0,13.0,9.0,6.0,7.0,8.0,9.0,10.0,11.0,10.0,11.0,14.0,10.0,10.0,19.0,15.0,4.0,12.0,14.0,15.0,2.0,8.0,11.0,10.363636363636363,10.0,8.25,12.75
1954.0,10.0,5.0,17.0,13.0,12.0,9.0,9.0,14.0,14.0,8.0,11.0,19.0,5.0,14.0,14.0,13.0,12.0,10.0,8.0,7.0,9.0,10.0,11.045454545454545,10.5,9.0,13.75
1955.0,16.0,10.0,9.0,8.0,13.0,13.0,8.0,7.0,7.0,4.0,15.0,16.0,23.0,18.0,19.0,6.0,8.0,8.0,6.0,13.0,18.0,11.0,11.636363636363637,10.5,8.0,15.75
1956.0,9.0,3.0,7.0,13.0,5.0,7.0,4.0,9.0,11.0,3.0,20.0,4.0,21.0,11.0,11.0,14.0,12.0,6.0,7.0,5.0,9.0,11.0,9.181818181818182,9.0,5.25,11.0
1957.0,5.0,9.0,16.0,4.0,6.0,8.0,8.0,14.0,11.0,4.0,10.0,6.0,15.0,20.0,6.0,12.0,15.0,6.0,11.0,10.0,11.0,7.0,9.727272727272727,9.5,6.0,11.75
1958.0,10.0,12.0,10.0,8.0,6.0,6.0,13.0,7.0,6.0,8.0,16.0,6.0,7.0,27.0,12.0,7.0,7.0,9.0,10.0,19.0,9.0,3.0,9.909090909090908,8.5,7.0,11.5
1959.0,14.0,12.0,7.0,13.0,6.0,5.0,8.0,6.0,4.0,9.0,16.0,9.0,10.0,7.0,9.0,7.0,15.0,7.0,8.0,16.0,11.0,7.0,9.363636363636363,8.5,7.0,11.75
1960.0,7.0,8.0,13.0,11.0,6.0,9.0,8.0,11.0,13.0,7.0,7.0,7.0,3.0,11.0,11.0,8.0,14.0,8.0,21.0,4.0,5.0,9.0,9.136363636363637,8.0,7.0,11.0
1961.0,13.0,9.0,5.0,14.0,12.0,10.0,10.0,6.0,8.0,6.0,8.0,5.0,9.0,16.0,6.0,11.0,19.0,6.0,12.0,13.0,4.0,7.0,9.5,9.0,6.0,12.0
1962.0,15.0,16.0,10.0,11.0,11.0,9.0,7.0,11.0,12.0,7.0,10.0,13.0,12.0,24.0,15.0,8.0,6.0,8.0,16.0,11.0,9.0,14.0,11.590909090909092,11.0,9.0,13.75
1963.0,13.0,15.0,5.0,9.0,12.0,8.0,7.0,3.0,11.0,11.0,16.0,13.0,5.0,22.0,8.0,13.0,15.0,10.0,2.0,11.0,12.0,11.0,10.545454545454545,11.0,8.0,13.0
1964.0,14.0,9.0,13.0,13.0,8.0,11.0,9.0,4.0,12.0,4.0,9.0,5.0,4.0,16.0,15.0,10.0,12.0,6.0,18.0,9.0,11.0,10.0,10.090909090909092,10.0,8.25,12.75
1965.0,12.0,9.0,5.0,5.0,5.0,10.0,5.0,12.0,14.0,8.0,8.0,14.0,11.0,23.0,11.0,9.0,10.0,12.0,11.0,4.0,17.0,10.0,10.227272727272727,10.0,8.0,12.0
1966.0,19.0,11.0,19.0,9.0,5.0,7.0,7.0,7.0,17.0,8.0,7.0,13.0,7.0,13.0,13.0,8.0,16.0,10.0,16.0,9.0,24.0,7.0,11.454545454545455,9.5,7.0,15.25
1967.0,11.0,3.0,13.0,5.0,11.0,13.0,4.0,7.0,12.0,10.0,17.0,13.0,15.0,16.0,8.0,9.0,12.0,4.0,8.0,7.0,9.0,4.0,9.590909090909092,9.5,7.0,12.75
1968.0,14.0,9.0,5.0,4.0,12.0,11.0,12.0,4.0,13.0,13.0,19.0,14.0,15.0,12.0,17.0,9.0,7.0,3.0,23.0,2.0,6.0,7.0,10.5,11.5,6.25,13.75
