years,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CMCC-ESM2,CNRM-CM6-1,CNRM-ESM2-1,EC-Earth3,FGOALS-g3,GFDL-ESM4,GISS-E2-1-G,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MIROC-ES2L,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM,NorESM2-MM,mme-mean,mme-median,mme-pct25,mme-pct75
1950.0,12.0,8.0,8.0,nan,8.0,4.0,11.0,14.0,6.0,14.0,7.0,40.0,8.0,3.0,14.0,6.0,6.0,7.0,9.0,6.0,20.0,9.0,10.476190476190476,8.0,6.0,12.0
1951.0,10.0,2.0,17.0,nan,5.0,4.0,11.0,4.0,3.0,26.0,14.0,2.0,5.0,5.0,3.0,5.0,0.0,9.0,6.0,11.0,6.0,14.0,7.714285714285714,5.0,4.0,11.0
1952.0,5.0,9.0,15.0,nan,43.0,28.0,15.0,13.0,5.0,14.0,18.0,26.0,8.0,12.0,1.0,8.0,2.0,10.0,15.0,9.0,7.0,9.0,12.952380952380953,10.0,8.0,15.0
1953.0,15.0,19.0,8.0,nan,11.0,18.0,10.0,11.0,6.0,3.0,0.0,18.0,13.0,11.0,10.0,6.0,3.0,16.0,8.0,20.0,3.0,11.0,10.476190476190476,11.0,6.0,15.0
1954.0,12.0,11.0,11.0,nan,2.0,7.0,3.0,22.0,9.0,4.0,21.0,8.0,7.0,19.0,13.0,3.0,2.0,14.0,5.0,10.0,3.0,11.0,9.380952380952381,9.0,4.0,12.0
1955.0,10.0,23.0,13.0,nan,0.0,3.0,13.0,24.0,7.0,10.0,3.0,3.0,21.0,8.0,6.0,9.0,9.0,17.0,4.0,9.0,7.0,7.0,9.80952380952381,9.0,6.0,13.0
1956.0,16.0,3.0,16.0,nan,7.0,14.0,2.0,14.0,7.0,24.0,9.0,8.0,0.0,3.0,7.0,13.0,10.0,12.0,6.0,8.0,18.0,15.0,10.095238095238095,9.0,7.0,14.0
1957.0,5.0,6.0,9.0,nan,29.0,16.0,8.0,28.0,3.0,15.0,0.0,6.0,0.0,6.0,24.0,8.0,14.0,6.0,8.0,15.0,14.0,5.0,10.714285714285714,8.0,6.0,15.0
1958.0,28.0,15.0,3.0,nan,9.0,0.0,8.0,23.0,8.0,5.0,0.0,6.0,1.0,2.0,5.0,22.0,4.0,3.0,7.0,8.0,4.0,2.0,7.761904761904762,5.0,3.0,8.0
1959.0,6.0,1.0,4.0,nan,13.0,1.0,1.0,20.0,7.0,7.0,13.0,19.0,10.0,13.0,1.0,9.0,1.0,14.0,9.0,9.0,12.0,4.0,8.285714285714286,9.0,4.0,13.0
1960.0,8.0,13.0,8.0,nan,11.0,8.0,2.0,3.0,3.0,2.0,14.0,5.0,19.0,12.0,3.0,14.0,3.0,12.0,7.0,13.0,10.0,9.0,8.523809523809524,8.0,3.0,12.0
