years,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CMCC-ESM2,CNRM-CM6-1,CNRM-ESM2-1,EC-Earth3,FGOALS-g3,GFDL-ESM4,GISS-E2-1-G,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MIROC-ES2L,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM,NorESM2-MM,mme-mean,mme-median,mme-pct25,mme-pct75
1950.0,-22.474334716796875,-31.886764526367188,-25.045761108398438,nan,-22.19976806640625,-22.3057861328125,-27.893814086914062,-17.956741333007812,-17.595458984375,-24.531082153320312,-15.7838134765625,-10.879302978515625,-18.462005615234375,-21.473342895507812,-28.605361938476562,-28.476470947265625,-11.3543701171875,-17.303176879882812,-16.36834716796875,-18.980148315429688,-12.01556396484375,-23.287551879882812,-20.708522251674108,-21.473342895507812,-24.531082153320312,-17.303176879882812
1951.0,-20.629669189453125,-25.890533447265625,-18.823867797851562,nan,-18.675186157226562,-20.1754150390625,-19.572113037109375,-25.230194091796875,-22.961822509765625,-19.069076538085938,-21.639297485351562,-14.26678466796875,-18.217498779296875,-15.818817138671875,-16.00225830078125,-15.93505859375,-18.67449951171875,-21.644317626953125,-19.979888916015625,-16.1187744140625,-24.087615966796875,-14.52484130859375,-19.425596691313245,-19.069076538085938,-21.639297485351562,-16.1187744140625
1952.0,-16.24151611328125,-18.360458374023438,-24.232025146484375,nan,-19.470962524414062,-22.343109130859375,-13.09136962890625,-18.262313842773438,-18.378082275390625,-21.102584838867188,-21.924270629882812,-9.5372314453125,-20.876327514648438,-15.750091552734375,-23.337509155273438,-24.576385498046875,-17.25439453125,-22.152801513671875,-18.48406982421875,-21.952499389648438,-22.545547485351562,-21.285232543945312,-19.578989664713543,-20.876327514648438,-22.152801513671875,-18.262313842773438
1953.0,-18.64141845703125,-13.595916748046875,-17.648727416992188,nan,-14.270782470703125,-26.136016845703125,-24.096893310546875,-21.42559814453125,-21.098800659179688,-18.6163330078125,-18.6163330078125,-7.90960693359375,-19.911666870117188,-17.19677734375,-16.66986083984375,-28.127227783203125,-15.63446044921875,-19.916122436523438,-14.159423828125,-21.858932495117188,-23.880569458007812,-15.879638671875,-18.82338605608259,-18.6163330078125,-21.42559814453125,-15.879638671875
1954.0,-16.99676513671875,-25.08642578125,-21.8770751953125,nan,-24.757980346679688,-13.7421875,-26.126800537109375,-19.59814453125,-20.624298095703125,-13.34832763671875,-17.586654663085938,-12.86456298828125,-17.871002197265625,-17.736526489257812,-16.75439453125,-13.63568115234375,-24.835403442382812,-17.275848388671875,-14.90966796875,-20.785171508789062,-19.61993408203125,-14.486785888671875,-18.596173241024925,-17.736526489257812,-20.785171508789062,-14.90966796875
1955.0,-15.002899169921875,-15.944244384765625,-23.1688232421875,nan,-20.279373168945312,-21.119125366210938,-21.670333862304688,-22.003204345703125,-19.025802612304688,-23.331512451171875,-15.874114990234375,-16.59991455078125,-23.574874877929688,-10.182769775390625,-21.778717041015625,-9.983367919921875,-19.23681640625,-27.648056030273438,-21.799118041992188,-19.54327392578125,-14.897735595703125,-16.491119384765625,-19.00739034016927,-19.54327392578125,-21.799118041992188,-15.944244384765625
1956.0,-13.66400146484375,-20.473602294921875,-20.720306396484375,nan,-26.471603393554688,-21.215301513671875,-16.5504150390625,-24.189559936523438,-16.817962646484375,-13.535125732421875,-15.8909912109375,-23.76519775390625,-34.581451416015625,-17.50146484375,-20.655136108398438,-7.17730712890625,-14.189178466796875,-21.518539428710938,-15.43109130859375,-23.33538818359375,-14.524261474609375,-19.209197998046875,-19.115099225725448,-19.209197998046875,-21.518539428710938,-15.43109130859375
1957.0,-18.765869140625,-19.282958984375,-16.609588623046875,nan,-12.153564453125,-21.567626953125,-19.73980712890625,-16.1185302734375,-14.067596435546875,-13.3115234375,-25.100250244140625,-20.85137939453125,-11.013092041015625,-17.200088500976562,-27.296646118164062,-12.520172119140625,-19.486557006835938,-16.667083740234375,-12.009735107421875,-13.066802978515625,-21.126602172851562,-22.467300415039062,-17.63917977469308,-17.200088500976562,-20.85137939453125,-13.3115234375
1958.0,-19.741455078125,-15.7760009765625,-22.412124633789062,nan,-17.273651123046875,-27.486968994140625,-23.008956909179688,-16.027923583984375,-19.755889892578125,-24.5623779296875,-15.805908203125,-21.584274291992188,-11.268463134765625,-22.50469970703125,-23.403884887695312,-9.716278076171875,-16.47430419921875,-19.058609008789062,-11.37286376953125,-20.756942749023438,-10.875946044921875,-17.261062622070312,-18.387075515020463,-19.058609008789062,-22.412124633789062,-15.805908203125
1959.0,-16.32342529296875,-21.460662841796875,-24.37054443359375,nan,-6.946197509765625,-15.784912109375,-15.673431396484375,-17.383392333984375,-22.557525634765625,-16.57403564453125,-14.87042236328125,-20.6646728515625,-21.835372924804688,-15.9962158203125,-25.629745483398438,-10.363983154296875,-13.30322265625,-21.766860961914062,-21.018600463867188,-21.571792602539062,-8.9835205078125,-19.7489013671875,-17.753687540690105,-17.383392333984375,-21.571792602539062,-15.673431396484375
1960.0,-24.46337890625,-13.901397705078125,-19.798690795898438,nan,-13.602752685546875,-12.224212646484375,-25.222824096679688,-20.317550659179688,-20.918930053710938,-23.553909301757812,-15.823944091796875,-18.844573974609375,-9.84173583984375,-20.590301513671875,-24.672882080078125,-11.907928466796875,-15.487884521484375,-14.160675048828125,-21.245132446289062,-18.091400146484375,-15.408477783203125,-16.17681884765625,-17.91692388625372,-18.091400146484375,-20.918930053710938,-14.160675048828125
1961.0,-13.60284423828125,-31.0601806640625,-22.50909423828125,nan,-10.04290771484375,-18.084213256835938,-18.678268432617188,-21.45416259765625,-20.91668701171875,-27.22381591796875,-22.069381713867188,-21.899948120117188,-10.138702392578125,-15.7843017578125,-17.6953125,-17.878265380859375,-15.660614013671875,-19.307022094726562,-19.1495361328125,-13.31011962890625,-24.41156005859375,-15.702484130859375,-18.884734380812873,-18.678268432617188,-21.899948120117188,-15.702484130859375
1962.0,-15.564178466796875,-22.333953857421875,-21.296295166015625,nan,-15.209625244140625,-26.490966796875,-19.291473388671875,-22.850494384765625,-14.99560546875,-19.3453369140625,-15.3763427734375,-17.13824462890625,-12.24658203125,-17.27874755859375,-18.786026000976562,-17.757415771484375,-9.519317626953125,-13.734527587890625,-21.182144165039062,-20.940109252929688,-20.418930053710938,-14.594635009765625,-17.921473911830358,-17.757415771484375,-20.940109252929688,-15.209625244140625
1963.0,-18.344009399414062,-16.19439697265625,-21.3037109375,nan,-14.618621826171875,-18.284072875976562,-18.582931518554688,-27.250839233398438,-17.1966552734375,-15.724090576171875,-13.984039306640625,-16.5697021484375,-21.104385375976562,-22.575851440429688,-22.359649658203125,-22.507369995117188,-14.36236572265625,-13.424224853515625,-15.087921142578125,-15.792633056640625,-16.82781982421875,-13.994110107421875,-17.909019106910343,-16.82781982421875,-21.104385375976562,-15.087921142578125
1964.0,-16.95458984375,-14.134857177734375,-24.020416259765625,nan,-14.059906005859375,-12.049835205078125,-18.837249755859375,-21.234222412109375,-17.877410888671875,-16.434051513671875,-20.869949340820312,-17.878448486328125,-13.83343505859375,-12.2333984375,-21.124099731445312,-18.333969116210938,-18.252777099609375,-16.0093994140625,-17.154525756835938,-16.3785400390625,-10.59130859375,-24.492340087890625,-17.274034772600448,-17.154525756835938,-18.837249755859375,-14.134857177734375
1965.0,-18.68096923828125,-19.588836669921875,-23.95098876953125,nan,-17.288650512695312,-25.121871948242188,-13.975433349609375,-20.10919189453125,-20.540969848632812,-26.32666015625,-22.11309814453125,-13.93212890625,-29.022552490234375,-9.0072021484375,-25.982086181640625,-18.163970947265625,-21.505722045898438,-16.0782470703125,-14.092742919921875,-18.626846313476562,-18.89227294921875,-16.434783935546875,-19.496915544782365,-18.89227294921875,-22.11309814453125,-16.434783935546875
