threshold,ssp,date,GFDL-ESM4_compound_day_total,GISS-E2-1-G_compound_day_total,CNRM-CM6-1_compound_day_total,BCC-CSM2-MR_compound_day_total,IPSL-CM6A-LR_compound_day_total,INM-CM5-0_compound_day_total,ACCESS-CM2_compound_day_total,ACCESS-ESM1-5_compound_day_total,FGOALS-g3_compound_day_total,NorESM2-LM_compound_day_total,INM-CM4-8_compound_day_total,EC-Earth3_compound_day_total,CNRM-ESM2-1_compound_day_total,MPI-ESM1-2-LR_compound_day_total,NorESM2-MM_compound_day_total,MPI-ESM1-2-HR_compound_day_total,CMCC-ESM2_compound_day_total,MIROC-ES2L_compound_day_total,KACE-1-0-G_compound_day_total,MRI-ESM2-0_compound_day_total,MIROC6_compound_day_total,GFDL-ESM4_compound_event_total,GISS-E2-1-G_compound_event_total,CNRM-CM6-1_compound_event_total,BCC-CSM2-MR_compound_event_total,IPSL-CM6A-LR_compound_event_total,INM-CM5-0_compound_event_total,ACCESS-CM2_compound_event_total,ACCESS-ESM1-5_compound_event_total,FGOALS-g3_compound_event_total,NorESM2-LM_compound_event_total,INM-CM4-8_compound_event_total,EC-Earth3_compound_event_total,CNRM-ESM2-1_compound_event_total,MPI-ESM1-2-LR_compound_event_total,NorESM2-MM_compound_event_total,MPI-ESM1-2-HR_compound_event_total,CMCC-ESM2_compound_event_total,MIROC-ES2L_compound_event_total,KACE-1-0-G_compound_event_total,MRI-ESM2-0_compound_event_total,MIROC6_compound_event_total,GFDL-ESM4_compound_sequence_total,GISS-E2-1-G_compound_sequence_total,CNRM-CM6-1_compound_sequence_total,BCC-CSM2-MR_compound_sequence_total,IPSL-CM6A-LR_compound_sequence_total,INM-CM5-0_compound_sequence_total,ACCESS-CM2_compound_sequence_total,ACCESS-ESM1-5_compound_sequence_total,FGOALS-g3_compound_sequence_total,NorESM2-LM_compound_sequence_total,INM-CM4-8_compound_sequence_total,EC-Earth3_compound_sequence_total,CNRM-ESM2-1_compound_sequence_total,MPI-ESM1-2-LR_compound_sequence_total,NorESM2-MM_compound_sequence_total,MPI-ESM1-2-HR_compound_sequence_total,CMCC-ESM2_compound_sequence_total,MIROC-ES2L_compound_sequence_total,KACE-1-0-G_compound_sequence_total,MRI-ESM2-0_compound_sequence_total,MIROC6_compound_sequence_total,GFDL-ESM4_compound_duration_max,GISS-E2-1-G_compound_duration_max,CNRM-CM6-1_compound_duration_max,BCC-CSM2-MR_compound_duration_max,IPSL-CM6A-LR_compound_duration_max,INM-CM5-0_compound_duration_max,ACCESS-CM2_compound_duration_max,ACCESS-ESM1-5_compound_duration_max,FGOALS-g3_compound_duration_max,NorESM2-LM_compound_duration_max,INM-CM4-8_compound_duration_max,EC-Earth3_compound_duration_max,CNRM-ESM2-1_compound_duration_max,MPI-ESM1-2-LR_compound_duration_max,NorESM2-MM_compound_duration_max,MPI-ESM1-2-HR_compound_duration_max,CMCC-ESM2_compound_duration_max,MIROC-ES2L_compound_duration_max,KACE-1-0-G_compound_duration_max,MRI-ESM2-0_compound_duration_max,MIROC6_compound_duration_max,GFDL-ESM4_compound_duration_mean,GISS-E2-1-G_compound_duration_mean,CNRM-CM6-1_compound_duration_mean,BCC-CSM2-MR_compound_duration_mean,IPSL-CM6A-LR_compound_duration_mean,INM-CM5-0_compound_duration_mean,ACCESS-CM2_compound_duration_mean,ACCESS-ESM1-5_compound_duration_mean,FGOALS-g3_compound_duration_mean,NorESM2-LM_compound_duration_mean,INM-CM4-8_compound_duration_mean,EC-Earth3_compound_duration_mean,CNRM-ESM2-1_compound_duration_mean,MPI-ESM1-2-LR_compound_duration_mean,NorESM2-MM_compound_duration_mean,MPI-ESM1-2-HR_compound_duration_mean,CMCC-ESM2_compound_duration_mean,MIROC-ES2L_compound_duration_mean,KACE-1-0-G_compound_duration_mean,MRI-ESM2-0_compound_duration_mean,MIROC6_compound_duration_mean,mean_day_total,med_day_total,p10_day_total,p90_day_total,mean_event_total,med_event_total,p10_event_total,p90_event_total,mean_sequence_total,med_sequence_total,p10_sequence_total,p90_sequence_total,mean_duration_max,med_duration_max,p10_duration_max,p90_duration_max,mean_duration_mean,med_duration_mean,p10_duration_mean,p90_duration_mean
spi<-2_tasmax>32.22,ssp245,2050,19,0,0,0,0,17,0,3,0,11,0,0,0,0,0,0,0,5,22,0,4,19,0,0,0,0,17,0,3,0,11,0,0,0,0,0,0,0,5,22,0,4,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,2,0,1,19,0,0,0,0,17,0,3,0,11,0,0,0,0,0,0,0,5,19,0,4,19.0,0.0,0.0,0.0,0.0,17.0,0.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,0.0,4.0,3.857142857142857,0.0,0.0,17.0,3.857142857142857,0.0,0.0,17.0,0.38095238095238093,0.0,0.0,1.0,3.7142857142857144,0.0,0.0,17.0,3.3333333333333335,0.0,0.0,11.0
spi<-2_tasmax>32.22,ssp245,2051,9,0,0,0,0,12,0,3,6,7,0,0,12,0,6,23,30,0,14,0,0,9,0,0,0,0,12,0,3,6,6,0,0,12,0,6,23,30,0,14,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,2,3,0,2,0,0,9,0,0,0,0,12,0,3,6,6,0,0,12,0,6,19,22,0,12,0,0,9.0,0.0,0.0,0.0,0.0,12.0,0.0,3.0,6.0,6.0,0.0,0.0,12.0,0.0,6.0,11.5,10.0,0.0,7.0,0.0,0.0,5.809523809523809,0.0,0.0,14.0,5.761904761904762,0.0,0.0,14.0,0.6666666666666666,0.0,0.0,2.0,5.095238095238095,0.0,0.0,12.0,3.9285714285714284,0.0,0.0,11.5
spi<-2_tasmax>32.22,ssp245,2052,9,0,0,0,0,0,0,0,0,26,0,0,7,0,0,0,10,0,0,0,16,9,0,0,0,0,0,0,0,0,26,0,0,7,0,0,0,10,0,0,0,16,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,1,6,0,0,0,0,0,0,0,0,17,0,0,5,0,0,0,10,0,0,0,16,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,3.5,0.0,0.0,0.0,10.0,0.0,0.0,0.0,16.0,3.238095238095238,0.0,0.0,10.0,3.238095238095238,0.0,0.0,10.0,0.38095238095238093,0.0,0.0,2.0,2.5714285714285716,0.0,0.0,10.0,2.238095238095238,0.0,0.0,10.0
spi<-2_tasmax>32.22,ssp245,2053,0,0,0,0,0,0,2,0,0,6,4,0,0,0,0,0,0,0,37,0,1,0,0,0,0,0,0,2,0,0,6,4,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,6,4,0,0,0,0,0,0,0,24,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,2.380952380952381,0.0,0.0,4.0,2.2857142857142856,0.0,0.0,4.0,0.2857142857142857,0.0,0.0,1.0,1.7142857142857142,0.0,0.0,4.0,1.1428571428571428,0.0,0.0,4.0
spi<-2_tasmax>32.22,ssp245,2054,0,0,19,37,0,0,0,0,6,0,3,0,2,0,0,0,0,0,0,0,27,0,0,19,37,0,0,0,0,6,0,3,0,2,0,0,0,0,0,0,0,27,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,19,37,0,0,0,0,6,0,3,0,2,0,0,0,0,0,0,0,27,0.0,0.0,19.0,37.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,4.476190476190476,0.0,0.0,19.0,4.476190476190476,0.0,0.0,19.0,0.2857142857142857,0.0,0.0,1.0,4.476190476190476,0.0,0.0,19.0,4.476190476190476,0.0,0.0,19.0
spi<-2_tasmax>32.22,ssp245,2055,3,0,0,29,0,0,12,4,0,0,0,0,0,2,12,0,6,0,0,0,0,2,0,0,29,0,0,12,4,0,0,0,0,0,2,12,0,6,0,0,0,0,1,0,0,2,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,22,0,0,12,4,0,0,0,0,0,2,12,0,6,0,0,0,0,2.0,0.0,0.0,14.5,0.0,0.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,6.0,0.0,0.0,0.0,0.0,3.238095238095238,0.0,0.0,12.0,3.1904761904761907,0.0,0.0,12.0,0.38095238095238093,0.0,0.0,1.0,2.857142857142857,0.0,0.0,12.0,2.5,0.0,0.0,12.0
spi<-2_tasmax>32.22,ssp245,2056,0,0,0,1,1,0,8,0,0,0,0,0,0,0,0,0,54,0,0,0,11,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,54,0,0,0,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,54,0,0,0,11,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,11.0,3.5714285714285716,0.0,0.0,8.0,3.4761904761904763,0.0,0.0,8.0,0.19047619047619047,0.0,0.0,1.0,3.3333333333333335,0.0,0.0,5.0,3.2857142857142856,0.0,0.0,4.0
spi<-2_tasmax>32.22,ssp245,2057,18,0,0,0,0,9,0,0,0,0,7,13,0,0,1,22,0,0,6,0,0,18,0,0,0,0,8,0,0,0,0,7,13,0,0,0,21,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2,0,0,2,0,0,18,0,0,0,0,8,0,0,0,0,7,13,0,0,0,13,0,0,2,0,0,18.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,7.0,13.0,0.0,0.0,0.0,10.5,0.0,0.0,2.0,0.0,0.0,3.619047619047619,0.0,0.0,13.0,3.380952380952381,0.0,0.0,13.0,0.38095238095238093,0.0,0.0,1.0,2.9047619047619047,0.0,0.0,13.0,2.7857142857142856,0.0,0.0,10.5
spi<-2_tasmax>32.22,ssp245,2058,0,0,7,0,0,0,6,0,0,0,0,10,0,0,0,0,0,2,6,0,0,0,0,7,0,0,0,6,0,0,0,0,10,0,0,0,0,0,2,6,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,7,0,0,0,6,0,0,0,0,10,0,0,0,0,0,2,6,0,0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,1.4761904761904763,0.0,0.0,6.0,1.4761904761904763,0.0,0.0,6.0,0.23809523809523808,0.0,0.0,1.0,1.4761904761904763,0.0,0.0,6.0,1.4761904761904763,0.0,0.0,6.0
spi<-2_tasmax>32.22,ssp245,2059,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,9,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,9,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,9,0,0,0,8,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0,0.0,8.0,0.0,1.2380952380952381,0.0,0.0,5.0,1.1904761904761905,0.0,0.0,4.0,0.19047619047619047,0.0,0.0,1.0,1.1904761904761905,0.0,0.0,4.0,1.1904761904761905,0.0,0.0,4.0
spi<-2_tasmax>32.22,ssp245,2060,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23809523809523808,0.0,0.0,0.0,0.23809523809523808,0.0,0.0,0.0,0.09523809523809523,0.0,0.0,0.0,0.23809523809523808,0.0,0.0,0.0,0.23809523809523808,0.0,0.0,0.0
spi<-2_tasmax>32.22,ssp245,2061,0,0,1,0,0,0,0,9,0,0,6,0,0,36,0,0,0,2,0,0,8,0,0,0,0,0,0,0,9,0,0,6,0,0,36,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,6,0,0,31,0,0,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,6.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.9523809523809526,0.0,0.0,8.0,2.8095238095238093,0.0,0.0,8.0,0.23809523809523808,0.0,0.0,1.0,2.5714285714285716,0.0,0.0,8.0,1.9523809523809523,0.0,0.0,8.0
spi<-2_tasmax>32.22,ssp245,2062,0,0,0,0,0,11,0,0,0,2,0,11,2,0,34,0,21,5,12,0,9,0,0,0,0,0,11,0,0,0,2,0,11,2,0,34,0,21,5,12,0,9,0,0,0,0,0,1,0,0,0,1,0,2,1,0,1,0,2,1,1,0,2,0,0,0,0,0,11,0,0,0,2,0,9,2,0,34,0,13,5,12,0,6,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,2.0,0.0,5.5,2.0,0.0,34.0,0.0,10.5,5.0,12.0,0.0,4.5,5.095238095238095,0.0,0.0,12.0,5.095238095238095,0.0,0.0,12.0,0.5714285714285714,0.0,0.0,2.0,4.476190476190476,0.0,0.0,12.0,4.119047619047619,0.0,0.0,11.0
spi<-2_tasmax>32.22,ssp245,2063,0,0,10,0,0,9,0,0,0,8,2,9,0,0,0,0,0,0,36,0,1,0,0,10,0,0,9,0,0,0,8,2,9,0,0,0,0,0,0,36,0,0,0,0,2,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,7,0,0,9,0,0,0,8,2,9,0,0,0,0,0,0,21,0,0,0.0,0.0,5.0,0.0,0.0,9.0,0.0,0.0,0.0,8.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,3.5714285714285716,0.0,0.0,9.0,3.5238095238095237,0.0,0.0,9.0,0.38095238095238093,0.0,0.0,1.0,2.6666666666666665,0.0,0.0,9.0,2.4285714285714284,0.0,0.0,9.0
spi<-2_tasmax>32.22,ssp245,2064,0,0,0,7,1,3,0,11,0,2,0,0,0,0,0,0,0,5,46,4,0,0,0,0,7,0,3,0,11,0,2,0,0,0,0,0,0,0,4,46,4,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,7,0,3,0,11,0,2,0,0,0,0,0,0,0,4,36,4,0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,23.0,4.0,0.0,3.761904761904762,0.0,0.0,7.0,3.6666666666666665,0.0,0.0,7.0,0.38095238095238093,0.0,0.0,1.0,3.1904761904761907,0.0,0.0,7.0,2.5714285714285716,0.0,0.0,7.0
spi<-2_tasmax>32.22,ssp245,2065,0,2,9,0,0,0,0,0,0,5,0,12,0,0,4,0,6,0,0,0,7,0,2,8,0,0,0,0,0,0,4,0,12,0,0,4,0,6,0,0,0,7,0,1,1,0,0,0,0,0,0,1,0,2,0,0,2,0,1,0,0,0,2,0,2,8,0,0,0,0,0,0,4,0,10,0,0,2,0,6,0,0,0,5,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,3.5,2.142857142857143,0.0,0.0,7.0,2.0476190476190474,0.0,0.0,7.0,0.47619047619047616,0.0,0.0,2.0,1.7619047619047619,0.0,0.0,6.0,1.5,0.0,0.0,6.0
spi<-2_tasmax>32.22,ssp245,2066,0,4,0,12,26,0,19,0,0,0,1,2,0,0,5,33,12,7,2,0,0,0,4,0,11,26,0,18,0,0,0,0,2,0,0,5,33,12,7,2,0,0,0,1,0,3,2,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,4,0,6,17,0,18,0,0,0,0,2,0,0,5,33,12,7,2,0,0,0.0,4.0,0.0,3.67,13.0,0.0,18.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,33.0,12.0,7.0,2.0,0.0,0.0,5.857142857142857,1.0,0.0,19.0,5.714285714285714,0.0,0.0,18.0,0.6190476190476191,0.0,0.0,1.0,5.0476190476190474,0.0,0.0,17.0,4.746190476190476,0.0,0.0,13.0
spi<-2_tasmax>32.22,ssp245,2067,0,0,0,2,0,0,3,4,2,0,0,0,37,0,0,2,0,0,4,0,6,0,0,0,2,0,0,3,3,2,0,0,0,37,0,0,2,0,0,4,0,6,0,0,0,1,0,0,1,1,1,0,0,0,2,0,0,1,0,0,1,0,1,0,0,0,2,0,0,3,3,2,0,0,0,33,0,0,2,0,0,4,0,6,0.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,18.5,0.0,0.0,2.0,0.0,0.0,4.0,0.0,6.0,2.857142857142857,0.0,0.0,4.0,2.8095238095238093,0.0,0.0,4.0,0.42857142857142855,0.0,0.0,1.0,2.619047619047619,0.0,0.0,4.0,1.9285714285714286,0.0,0.0,4.0
spi<-2_tasmax>32.22,ssp245,2068,0,0,0,24,0,0,0,17,0,2,0,0,0,0,0,10,0,16,0,0,1,0,0,0,24,0,0,0,17,0,2,0,0,0,0,0,10,0,15,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,18,0,0,0,17,0,2,0,0,0,0,0,10,0,15,0,0,0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,17.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,15.0,0.0,0.0,0.0,3.3333333333333335,0.0,0.0,16.0,3.238095238095238,0.0,0.0,15.0,0.2857142857142857,0.0,0.0,1.0,2.9523809523809526,0.0,0.0,15.0,2.6666666666666665,0.0,0.0,12.0
spi<-2_tasmax>32.22,ssp245,2069,0,4,0,3,10,0,12,0,0,10,0,8,0,0,0,2,3,5,0,0,9,0,4,0,3,10,0,12,0,0,10,0,8,0,0,0,2,3,5,0,0,9,0,1,0,1,2,0,2,0,0,2,0,1,0,0,0,1,1,1,0,0,1,0,4,0,3,6,0,6,0,0,5,0,8,0,0,0,2,3,5,0,0,9,0.0,4.0,0.0,3.0,5.0,0.0,6.0,0.0,0.0,5.0,0.0,8.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,0.0,9.0,3.142857142857143,0.0,0.0,10.0,3.142857142857143,0.0,0.0,10.0,0.6190476190476191,0.0,0.0,2.0,2.4285714285714284,0.0,0.0,6.0,2.380952380952381,0.0,0.0,6.0
spi<-2_tasmax>32.22,ssp245,2070,0,0,0,0,0,25,0,0,0,0,0,9,0,0,0,0,19,0,0,0,13,0,0,0,0,0,25,0,0,0,0,0,9,0,0,0,0,19,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,25,0,0,0,0,0,9,0,0,0,0,16,0,0,0,7,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,6.0,3.142857142857143,0.0,0.0,13.0,3.0952380952380953,0.0,0.0,12.0,0.2857142857142857,0.0,0.0,1.0,2.7142857142857144,0.0,0.0,9.0,2.357142857142857,0.0,0.0,9.0
spi<-2_tasmax>32.22,ssp245,2071,0,1,0,0,0,0,1,17,0,0,0,0,0,0,0,0,25,3,12,0,6,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,25,3,12,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,25,3,12,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,3.0,12.0,0.0,3.0,3.0952380952380953,0.0,0.0,12.0,3.0,0.0,0.0,12.0,0.3333333333333333,0.0,0.0,1.0,2.5238095238095237,0.0,0.0,10.0,2.4523809523809526,0.0,0.0,8.5
spi<-2_tasmax>32.22,ssp245,2072,0,0,0,5,13,5,2,19,0,3,0,0,0,0,0,0,0,0,13,0,11,0,0,0,5,13,5,2,18,0,3,0,0,0,0,0,0,0,0,13,0,11,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,5,13,5,2,18,0,3,0,0,0,0,0,0,0,0,9,0,11,0.0,0.0,0.0,5.0,13.0,5.0,2.0,18.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,11.0,3.380952380952381,0.0,0.0,13.0,3.3333333333333335,0.0,0.0,13.0,0.42857142857142855,0.0,0.0,1.0,3.142857142857143,0.0,0.0,11.0,3.0238095238095237,0.0,0.0,11.0
spi<-2_tasmax>32.22,ssp245,2073,0,0,0,0,0,0,12,0,2,12,0,3,19,12,0,5,18,56,6,0,0,0,0,0,0,0,0,12,0,2,12,0,3,19,12,0,5,18,56,6,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,2,0,1,1,2,1,0,0,0,0,0,0,0,0,12,0,2,12,0,3,19,9,0,5,18,28,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,2.0,12.0,0.0,3.0,19.0,6.0,0.0,5.0,18.0,28.0,6.0,0.0,0.0,6.904761904761905,0.0,0.0,18.0,6.904761904761905,0.0,0.0,18.0,0.5714285714285714,0.0,0.0,1.0,5.428571428571429,0.0,0.0,18.0,5.285714285714286,0.0,0.0,18.0
spi<-2_tasmax>32.22,ssp245,2074,28,0,0,12,11,13,2,10,0,0,0,1,0,0,0,0,0,5,5,0,0,28,0,0,12,11,13,2,10,0,0,0,0,0,0,0,0,0,5,5,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,28,0,0,12,11,13,2,10,0,0,0,0,0,0,0,0,0,5,5,0,0,28.0,0.0,0.0,12.0,11.0,13.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,4.142857142857143,0.0,0.0,12.0,4.095238095238095,0.0,0.0,12.0,0.38095238095238093,0.0,0.0,1.0,4.095238095238095,0.0,0.0,12.0,4.095238095238095,0.0,0.0,12.0
spi<-2_tasmax>32.22,ssp245,2075,0,12,0,0,0,0,13,0,0,0,0,4,1,0,31,0,0,0,1,1,0,0,12,0,0,0,0,13,0,0,0,0,4,0,0,30,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,12,0,0,0,0,13,0,0,0,0,4,0,0,17,0,0,0,0,0,0,0.0,12.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,12.0,2.8095238095238093,0.0,0.0,12.0,0.2857142857142857,0.0,0.0,1.0,2.1904761904761907,0.0,0.0,12.0,1.8571428571428572,0.0,0.0,10.0
spi<-2_tasmax>32.22,ssp245,2076,0,0,0,0,0,16,0,0,0,0,0,11,4,0,0,0,0,8,0,2,0,0,0,0,0,0,15,0,0,0,0,0,11,4,0,0,0,0,8,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,15,0,0,0,0,0,11,4,0,0,0,0,8,0,2,0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,1.9523809523809523,0.0,0.0,8.0,1.9047619047619047,0.0,0.0,8.0,0.23809523809523808,0.0,0.0,1.0,1.9047619047619047,0.0,0.0,8.0,1.9047619047619047,0.0,0.0,8.0
spi<-2_tasmax>32.22,ssp245,2077,2,11,0,0,0,59,7,14,0,0,0,9,0,0,0,0,11,0,3,4,15,2,11,0,0,0,59,7,14,0,0,0,9,0,0,0,0,11,0,3,3,15,1,2,0,0,0,3,1,2,0,0,0,3,0,0,0,0,2,0,1,1,1,2,6,0,0,0,43,7,11,0,0,0,4,0,0,0,0,7,0,3,3,15,2.0,5.5,0.0,0.0,0.0,19.67,7.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.5,0.0,3.0,3.0,15.0,6.428571428571429,0.0,0.0,14.0,6.380952380952381,0.0,0.0,14.0,0.8095238095238095,0.0,0.0,2.0,4.809523809523809,0.0,0.0,11.0,3.3652380952380954,0.0,0.0,7.0
spi<-2_tasmax>32.22,ssp245,2078,1,0,0,0,0,3,0,0,0,13,1,7,29,2,2,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,13,0,7,29,2,2,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,13,0,5,18,2,2,0,0,0,8,0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,13.0,0.0,3.5,14.5,2.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,3.142857142857143,0.0,0.0,8.0,3.0476190476190474,0.0,0.0,8.0,0.42857142857142855,0.0,0.0,1.0,2.4285714285714284,0.0,0.0,8.0,2.1904761904761907,0.0,0.0,8.0
spi<-2_tasmax>32.22,ssp245,2079,14,0,0,0,0,0,12,0,0,0,2,22,0,3,5,0,0,0,8,0,0,14,0,0,0,0,0,12,0,0,0,2,21,0,3,5,0,0,0,8,0,0,2,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,12,0,0,0,0,0,12,0,0,0,2,21,0,3,5,0,0,0,8,0,0,7.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0,21.0,0.0,3.0,5.0,0.0,0.0,0.0,8.0,0.0,0.0,3.142857142857143,0.0,0.0,12.0,3.0952380952380953,0.0,0.0,12.0,0.38095238095238093,0.0,0.0,1.0,3.0,0.0,0.0,12.0,2.761904761904762,0.0,0.0,8.0
spi<-2_tasmax>32.22,ssp245,2080,0,2,6,3,14,9,0,46,0,0,0,0,0,0,0,0,23,0,0,0,12,0,2,6,2,14,9,0,46,0,0,0,0,0,0,0,0,23,0,0,0,11,0,1,1,1,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,6,2,14,9,0,34,0,0,0,0,0,0,0,0,23,0,0,0,11,0.0,2.0,6.0,2.0,14.0,9.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,11.0,5.476190476190476,0.0,0.0,14.0,5.380952380952381,0.0,0.0,14.0,0.42857142857142855,0.0,0.0,1.0,4.809523809523809,0.0,0.0,14.0,4.285714285714286,0.0,0.0,14.0
