Years,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CMCC-ESM2,CNRM-CM6-1,CNRM-ESM2-1,EC-Earth3,FGOALS-g3,GFDL-ESM4,GISS-E2-1-G,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MIROC-ES2L,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM,NorESM2-MM,MME-mean,MME-median,MME-pct25,MME-pct75,MME-pct05,MME-pct95
1950.0,8.0,6.0,22.0,NaN,18.0,9.0,23.0,49.0,28.0,0.0,20.0,28.0,11.0,10.0,32.0,16.0,34.0,37.0,12.0,48.0,30.0,14.0,21.666666666666668,20.0,11.0,30.0,6.0,48.0
1951.0,19.0,25.0,32.0,NaN,23.0,21.0,26.0,23.0,37.0,16.0,31.0,21.0,4.0,11.0,11.0,0.0,30.0,11.0,32.0,19.0,22.0,22.0,20.761904761904763,22.0,16.0,26.0,4.0,32.0
1952.0,3.0,13.0,28.0,NaN,12.0,23.0,5.0,11.0,16.0,12.0,12.0,15.0,27.0,14.0,16.0,15.0,37.0,24.0,3.0,9.0,18.0,26.0,16.142857142857142,15.0,12.0,23.0,3.0,28.0
1953.0,17.0,17.0,53.0,NaN,14.0,35.0,6.0,33.0,6.0,36.0,36.0,22.0,25.0,0.0,32.0,28.0,47.0,12.0,21.0,60.0,13.0,23.0,25.523809523809526,23.0,14.0,35.0,6.0,53.0
1954.0,14.0,59.0,28.0,NaN,17.0,20.0,19.0,12.0,36.0,11.0,15.0,27.0,44.0,19.0,39.0,2.0,15.0,25.0,28.0,58.0,21.0,12.0,24.80952380952381,20.0,15.0,28.0,11.0,58.0
1955.0,3.0,21.0,27.0,NaN,33.0,12.0,36.0,21.0,16.0,71.0,14.0,50.0,17.0,12.0,11.0,12.0,17.0,7.0,52.0,23.0,12.0,11.0,22.761904761904763,17.0,12.0,27.0,7.0,52.0
1956.0,3.0,21.0,28.0,NaN,8.0,12.0,11.0,9.0,28.0,43.0,11.0,44.0,18.0,65.0,29.0,28.0,27.0,43.0,33.0,5.0,9.0,36.0,24.333333333333332,27.0,11.0,33.0,5.0,44.0
1957.0,8.0,10.0,19.0,NaN,14.0,5.0,22.0,4.0,8.0,50.0,15.0,44.0,32.0,24.0,17.0,23.0,1.0,38.0,34.0,43.0,25.0,11.0,21.285714285714285,19.0,10.0,32.0,4.0,44.0
1958.0,20.0,28.0,31.0,NaN,15.0,13.0,4.0,54.0,46.0,39.0,16.0,26.0,42.0,7.0,25.0,34.0,28.0,59.0,37.0,2.0,19.0,7.0,26.285714285714285,26.0,15.0,37.0,4.0,54.0
1959.0,31.0,10.0,11.0,NaN,19.0,60.0,8.0,17.0,25.0,71.0,21.0,25.0,17.0,18.0,29.0,51.0,25.0,45.0,11.0,7.0,31.0,49.0,27.666666666666668,25.0,17.0,31.0,8.0,60.0
