Years,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CMCC-ESM2,CNRM-CM6-1,CNRM-ESM2-1,EC-Earth3,FGOALS-g3,GFDL-ESM4,GISS-E2-1-G,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MIROC-ES2L,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM,NorESM2-MM,MME-mean,MME-median,MME-pct25,MME-pct75,MME-pct05,MME-pct95
1950.0,4.0,3.0,0.0,3.0,0.0,2.0,0.0,2.0,1.0,2.0,1.0,2.0,5.0,3.0,3.0,1.0,8.0,3.0,3.0,1.0,4.0,6.0,2.590909090909091,2.5,1.0,3.0,0.0,5.949999999999999
1951.0,6.0,6.0,1.0,6.0,1.0,3.0,0.0,0.0,4.0,0.0,4.0,5.0,3.0,5.0,5.0,1.0,3.0,2.0,2.0,3.0,5.0,2.0,3.0454545454545454,3.0,1.25,5.0,0.0,6.0
1952.0,2.0,3.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,3.0,1.0,0.0,3.0,3.0,1.0,3.0,1.0,0.0,4.0,0.0,4.0,0.0,1.5454545454545454,1.0,0.0,3.0,0.0,3.9499999999999993
1953.0,1.0,5.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,5.0,2.0,1.0,2.0,0.0,5.0,1.0,4.0,1.0,3.0,2.0,2.1818181818181817,2.0,1.0,3.0,1.0,5.0
1954.0,1.0,2.0,2.0,5.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,4.0,2.0,0.0,1.0,1.0,0.0,1.0,4.0,1.0,2.0,1.0,1.4545454545454546,1.0,1.0,2.0,0.0,4.0
1955.0,3.0,3.0,1.0,2.0,2.0,4.0,3.0,1.0,2.0,1.0,0.0,1.0,2.0,4.0,2.0,5.0,0.0,1.0,1.0,3.0,3.0,3.0,2.1363636363636362,2.0,1.0,3.0,0.050000000000000044,4.0
1956.0,5.0,0.0,1.0,5.0,1.0,4.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,3.0,2.0,4.0,2.0,3.0,0.0,2.0,1.0,1.0,1.8636363636363635,2.0,1.0,2.75,0.0,4.949999999999999
1957.0,2.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,3.0,6.0,1.0,2.0,4.0,4.0,2.0,1.0,0.0,3.0,1.0,1.8636363636363635,1.5,1.0,3.0,0.0,4.0
1958.0,1.0,4.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,5.0,1.0,0.0,1.0,1.0,0.0,4.0,2.0,2.0,6.0,2.0,1.7272727272727273,1.0,1.0,2.0,0.0,4.949999999999999
1959.0,4.0,5.0,1.0,6.0,0.0,0.0,1.0,1.0,1.0,4.0,2.0,1.0,0.0,3.0,2.0,1.0,2.0,2.0,4.0,1.0,2.0,1.0,2.0,1.5,1.0,2.75,0.0,4.949999999999999
