Years,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CMCC-ESM2,CNRM-CM6-1,CNRM-ESM2-1,EC-Earth3,FGOALS-g3,GFDL-ESM4,GISS-E2-1-G,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MIROC-ES2L,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM,NorESM2-MM,MME-mean,MME-median,MME-pct25,MME-pct75,MME-pct05,MME-pct95
1950.0,12.0,7.0,22.0,NaN,47.0,7.0,9.0,20.0,25.0,8.0,7.0,40.0,1.0,17.0,36.0,23.0,37.0,45.0,10.0,21.0,36.0,18.0,21.333333333333332,20.0,9.0,36.0,7.0,45.0
1951.0,24.0,17.0,41.0,NaN,18.0,16.0,21.0,33.0,23.0,27.0,66.0,7.0,5.0,9.0,25.0,17.0,14.0,28.0,21.0,28.0,37.0,49.0,25.047619047619047,23.0,17.0,28.0,7.0,49.0
1952.0,6.0,36.0,27.0,NaN,41.0,41.0,53.0,28.0,18.0,11.0,27.0,21.0,43.0,28.0,15.0,26.0,32.0,38.0,31.0,20.0,24.0,34.0,28.571428571428573,28.0,21.0,36.0,11.0,43.0
1953.0,25.0,43.0,41.0,NaN,22.0,30.0,15.0,28.0,23.0,7.0,40.0,18.0,52.0,9.0,43.0,45.0,51.0,16.0,31.0,29.0,22.0,30.0,29.523809523809526,29.0,22.0,41.0,9.0,51.0
1954.0,17.0,41.0,32.0,NaN,22.0,2.0,9.0,20.0,27.0,14.0,15.0,22.0,40.0,24.0,39.0,39.0,33.0,29.0,16.0,20.0,28.0,24.0,24.428571428571427,24.0,17.0,32.0,9.0,40.0
1955.0,16.0,15.0,28.0,NaN,18.0,9.0,18.0,31.0,30.0,62.0,9.0,49.0,31.0,16.0,15.0,24.0,6.0,38.0,29.0,29.0,20.0,28.0,24.80952380952381,24.0,16.0,30.0,9.0,49.0
1956.0,16.0,8.0,26.0,NaN,14.0,15.0,5.0,19.0,48.0,59.0,40.0,24.0,2.0,37.0,31.0,34.0,37.0,40.0,35.0,17.0,25.0,63.0,28.333333333333332,26.0,16.0,37.0,5.0,59.0
1957.0,11.0,8.0,21.0,NaN,60.0,27.0,19.0,34.0,37.0,50.0,38.0,16.0,2.0,30.0,40.0,20.0,29.0,24.0,25.0,31.0,30.0,31.0,27.761904761904763,29.0,20.0,34.0,8.0,50.0
1958.0,31.0,18.0,17.0,NaN,47.0,33.0,14.0,76.0,54.0,13.0,5.0,12.0,22.0,14.0,16.0,50.0,44.0,34.0,31.0,18.0,45.0,16.0,29.047619047619047,22.0,16.0,44.0,12.0,54.0
1959.0,17.0,14.0,5.0,NaN,49.0,9.0,5.0,46.0,27.0,53.0,48.0,29.0,23.0,17.0,36.0,42.0,34.0,21.0,9.0,22.0,31.0,38.0,27.38095238095238,27.0,17.0,38.0,5.0,49.0
1960.0,30.0,50.0,28.0,NaN,47.0,33.0,9.0,0.0,27.0,15.0,65.0,0.0,92.0,25.0,57.0,15.0,40.0,24.0,37.0,39.0,29.0,23.0,32.61904761904762,29.0,23.0,40.0,0.0,65.0
1961.0,24.0,18.0,28.0,NaN,29.0,44.0,29.0,25.0,50.0,2.0,0.0,13.0,1.0,23.0,42.0,27.0,46.0,41.0,28.0,30.0,30.0,31.0,26.714285714285715,28.0,23.0,31.0,1.0,46.0
1962.0,38.0,20.0,26.0,NaN,53.0,20.0,30.0,8.0,33.0,22.0,41.0,8.0,10.0,19.0,15.0,30.0,8.0,31.0,17.0,13.0,5.0,20.0,22.238095238095237,20.0,13.0,30.0,8.0,41.0
1963.0,15.0,11.0,41.0,NaN,25.0,5.0,13.0,29.0,21.0,12.0,6.0,0.0,11.0,10.0,38.0,55.0,2.0,21.0,19.0,28.0,36.0,28.0,20.285714285714285,19.0,11.0,28.0,2.0,41.0
1964.0,8.0,25.0,34.0,NaN,6.0,13.0,11.0,0.0,14.0,4.0,69.0,43.0,17.0,47.0,17.0,25.0,18.0,33.0,19.0,20.0,12.0,30.0,22.142857142857142,18.0,12.0,30.0,4.0,47.0
1965.0,17.0,3.0,45.0,NaN,26.0,23.0,38.0,4.0,33.0,19.0,11.0,20.0,51.0,24.0,16.0,37.0,21.0,13.0,20.0,20.0,17.0,40.0,23.714285714285715,20.0,17.0,33.0,4.0,45.0
