Years,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CMCC-ESM2,CNRM-CM6-1,CNRM-ESM2-1,EC-Earth3,FGOALS-g3,GFDL-ESM4,GISS-E2-1-G,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MIROC-ES2L,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM,NorESM2-MM,MME-mean,MME-median,MME-pct25,MME-pct75,MME-pct05,MME-pct95
1950.0,3.0,1.0,10.0,NaN,10.0,1.0,2.0,16.0,6.0,0.0,3.0,9.0,0.0,8.0,27.0,7.0,9.0,2.0,4.0,18.0,16.0,7.0,7.571428571428571,7.0,2.0,10.0,0.0,18.0
1951.0,13.0,14.0,23.0,NaN,14.0,2.0,6.0,8.0,19.0,11.0,32.0,4.0,0.0,0.0,9.0,3.0,1.0,9.0,3.0,11.0,10.0,25.0,10.333333333333334,9.0,3.0,14.0,0.0,25.0
1952.0,0.0,34.0,8.0,NaN,5.0,17.0,13.0,13.0,2.0,27.0,17.0,11.0,12.0,6.0,0.0,3.0,3.0,20.0,0.0,6.0,14.0,22.0,11.095238095238095,11.0,3.0,17.0,0.0,27.0
1953.0,18.0,21.0,33.0,NaN,23.0,4.0,4.0,10.0,4.0,9.0,31.0,0.0,21.0,1.0,23.0,17.0,9.0,7.0,6.0,10.0,6.0,19.0,13.142857142857142,10.0,6.0,21.0,1.0,31.0
1954.0,17.0,45.0,13.0,NaN,16.0,0.0,5.0,7.0,17.0,7.0,3.0,4.0,18.0,8.0,16.0,22.0,10.0,0.0,0.0,17.0,22.0,9.0,12.19047619047619,10.0,5.0,17.0,0.0,22.0
1955.0,1.0,7.0,18.0,NaN,7.0,8.0,8.0,22.0,11.0,69.0,5.0,44.0,0.0,0.0,3.0,4.0,8.0,0.0,47.0,17.0,8.0,9.0,14.095238095238095,8.0,4.0,17.0,0.0,47.0
1956.0,1.0,0.0,12.0,NaN,4.0,5.0,2.0,9.0,8.0,37.0,12.0,19.0,0.0,32.0,7.0,4.0,9.0,47.0,68.0,7.0,8.0,25.0,15.047619047619047,8.0,4.0,19.0,0.0,47.0
1957.0,1.0,6.0,12.0,NaN,14.0,11.0,11.0,1.0,11.0,39.0,21.0,9.0,1.0,11.0,15.0,11.0,1.0,27.0,48.0,9.0,21.0,6.0,13.619047619047619,11.0,6.0,15.0,1.0,39.0
1958.0,13.0,7.0,10.0,NaN,11.0,21.0,1.0,43.0,30.0,1.0,1.0,0.0,15.0,3.0,12.0,13.0,6.0,42.0,42.0,2.0,12.0,4.0,13.761904761904763,11.0,3.0,15.0,1.0,42.0
1959.0,17.0,2.0,1.0,NaN,30.0,10.0,0.0,9.0,20.0,65.0,21.0,0.0,15.0,3.0,9.0,10.0,1.0,25.0,0.0,10.0,25.0,23.0,14.095238095238095,10.0,2.0,21.0,0.0,30.0
1960.0,20.0,35.0,13.0,NaN,2.0,21.0,3.0,0.0,12.0,7.0,58.0,0.0,64.0,15.0,35.0,0.0,17.0,20.0,0.0,37.0,6.0,17.0,18.19047619047619,15.0,3.0,21.0,0.0,58.0
1961.0,9.0,10.0,12.0,NaN,5.0,29.0,15.0,19.0,14.0,6.0,0.0,10.0,9.0,25.0,22.0,0.0,10.0,26.0,1.0,14.0,5.0,10.0,11.952380952380953,10.0,6.0,15.0,0.0,26.0
1962.0,26.0,7.0,5.0,NaN,9.0,18.0,18.0,5.0,20.0,5.0,10.0,1.0,8.0,13.0,10.0,12.0,3.0,9.0,2.0,3.0,0.0,10.0,9.238095238095237,9.0,5.0,12.0,1.0,20.0
1963.0,2.0,1.0,38.0,NaN,2.0,0.0,12.0,20.0,15.0,13.0,1.0,0.0,18.0,13.0,16.0,5.0,0.0,11.0,64.0,12.0,11.0,30.0,13.523809523809524,12.0,2.0,16.0,0.0,38.0
1964.0,4.0,18.0,21.0,NaN,2.0,1.0,5.0,1.0,2.0,1.0,32.0,11.0,19.0,32.0,4.0,0.0,3.0,37.0,0.0,3.0,1.0,4.0,9.571428571428571,4.0,1.0,18.0,0.0,32.0
1965.0,10.0,0.0,21.0,NaN,13.0,9.0,10.0,1.0,4.0,14.0,4.0,11.0,39.0,20.0,3.0,9.0,2.0,0.0,5.0,9.0,0.0,11.0,9.285714285714286,9.0,3.0,11.0,0.0,21.0
1966.0,0.0,0.0,5.0,NaN,11.0,0.0,2.0,0.0,2.0,32.0,12.0,17.0,9.0,0.0,3.0,0.0,0.0,6.0,0.0,9.0,4.0,17.0,6.142857142857143,3.0,0.0,9.0,0.0,17.0
1967.0,31.0,25.0,21.0,NaN,14.0,1.0,14.0,26.0,5.0,5.0,1.0,0.0,9.0,9.0,9.0,3.0,20.0,7.0,7.0,7.0,3.0,12.0,10.904761904761905,9.0,5.0,14.0,1.0,26.0
1968.0,3.0,12.0,8.0,NaN,0.0,3.0,4.0,2.0,17.0,0.0,13.0,13.0,1.0,1.0,0.0,5.0,1.0,24.0,0.0,13.0,6.0,17.0,6.809523809523809,4.0,1.0,13.0,0.0,17.0
1969.0,35.0,1.0,20.0,NaN,5.0,3.0,7.0,9.0,27.0,18.0,3.0,15.0,10.0,29.0,10.0,7.0,8.0,36.0,0.0,12.0,5.0,11.0,12.904761904761905,10.0,5.0,18.0,1.0,35.0
1970.0,16.0,0.0,30.0,NaN,20.0,4.0,1.0,13.0,6.0,3.0,12.0,2.0,13.0,11.0,13.0,2.0,1.0,4.0,4.0,4.0,1.0,15.0,8.333333333333334,4.0,2.0,13.0,1.0,20.0
1971.0,0.0,43.0,30.0,NaN,8.0,1.0,5.0,0.0,32.0,30.0,1.0,0.0,35.0,19.0,13.0,7.0,6.0,1.0,80.0,0.0,6.0,0.0,15.095238095238095,6.0,1.0,30.0,0.0,43.0
1972.0,8.0,16.0,14.0,NaN,3.0,41.0,15.0,8.0,7.0,12.0,0.0,0.0,5.0,11.0,41.0,0.0,10.0,0.0,0.0,3.0,3.0,2.0,9.476190476190476,7.0,2.0,12.0,0.0,41.0
1973.0,11.0,9.0,20.0,NaN,9.0,2.0,4.0,8.0,12.0,3.0,14.0,31.0,17.0,12.0,16.0,4.0,10.0,4.0,12.0,0.0,10.0,4.0,10.095238095238095,10.0,4.0,12.0,2.0,20.0
1974.0,7.0,16.0,28.0,NaN,8.0,1.0,8.0,13.0,11.0,8.0,2.0,0.0,55.0,20.0,2.0,7.0,12.0,0.0,2.0,5.0,17.0,10.0,11.047619047619047,8.0,2.0,13.0,0.0,28.0
1975.0,0.0,22.0,23.0,NaN,0.0,35.0,29.0,2.0,60.0,7.0,6.0,0.0,8.0,4.0,18.0,5.0,18.0,14.0,0.0,8.0,3.0,18.0,13.333333333333334,8.0,3.0,18.0,0.0,35.0
1976.0,1.0,8.0,15.0,NaN,21.0,42.0,3.0,12.0,15.0,22.0,5.0,14.0,0.0,11.0,2.0,7.0,4.0,5.0,0.0,11.0,5.0,9.0,10.095238095238095,8.0,4.0,14.0,0.0,22.0
1977.0,30.0,5.0,22.0,NaN,24.0,45.0,0.0,5.0,17.0,3.0,30.0,12.0,7.0,19.0,19.0,3.0,2.0,0.0,0.0,11.0,13.0,2.0,12.80952380952381,11.0,3.0,19.0,0.0,30.0
1978.0,23.0,4.0,20.0,NaN,14.0,3.0,0.0,3.0,6.0,0.0,60.0,26.0,0.0,8.0,12.0,4.0,0.0,9.0,0.0,7.0,3.0,25.0,10.80952380952381,6.0,3.0,14.0,0.0,26.0
1979.0,2.0,52.0,26.0,NaN,4.0,2.0,33.0,7.0,10.0,14.0,19.0,5.0,7.0,14.0,15.0,9.0,3.0,3.0,39.0,5.0,9.0,24.0,14.380952380952381,9.0,5.0,19.0,2.0,39.0
1980.0,6.0,31.0,9.0,NaN,7.0,5.0,0.0,20.0,2.0,81.0,0.0,16.0,1.0,3.0,17.0,16.0,1.0,0.0,36.0,4.0,9.0,11.0,13.095238095238095,7.0,2.0,16.0,0.0,36.0
1981.0,37.0,3.0,26.0,NaN,28.0,0.0,9.0,5.0,5.0,43.0,14.0,29.0,37.0,13.0,10.0,20.0,15.0,3.0,32.0,10.0,9.0,8.0,16.952380952380953,13.0,8.0,28.0,3.0,37.0
1982.0,3.0,15.0,9.0,NaN,8.0,8.0,21.0,10.0,18.0,35.0,37.0,19.0,0.0,4.0,5.0,10.0,27.0,7.0,23.0,8.0,9.0,10.0,13.619047619047619,10.0,8.0,19.0,3.0,35.0
1983.0,0.0,22.0,14.0,NaN,28.0,13.0,2.0,1.0,6.0,47.0,6.0,33.0,0.0,1.0,3.0,4.0,32.0,7.0,0.0,2.0,3.0,10.0,11.142857142857142,6.0,2.0,14.0,0.0,33.0
1984.0,4.0,17.0,21.0,NaN,20.0,29.0,32.0,7.0,3.0,21.0,61.0,10.0,29.0,22.0,14.0,8.0,17.0,14.0,3.0,9.0,13.0,9.0,17.285714285714285,14.0,9.0,21.0,3.0,32.0
1985.0,10.0,83.0,15.0,NaN,6.0,8.0,18.0,9.0,16.0,23.0,14.0,0.0,36.0,63.0,23.0,4.0,10.0,12.0,42.0,15.0,3.0,39.0,21.38095238095238,15.0,9.0,23.0,3.0,63.0
1986.0,28.0,5.0,19.0,NaN,33.0,17.0,0.0,8.0,24.0,43.0,4.0,16.0,0.0,20.0,23.0,6.0,0.0,29.0,6.0,24.0,5.0,23.0,15.857142857142858,17.0,5.0,24.0,0.0,33.0
1987.0,0.0,7.0,12.0,NaN,6.0,13.0,4.0,1.0,23.0,47.0,1.0,18.0,5.0,7.0,17.0,30.0,0.0,4.0,38.0,7.0,13.0,33.0,13.619047619047619,7.0,4.0,18.0,0.0,38.0
1988.0,4.0,14.0,2.0,NaN,1.0,30.0,8.0,0.0,15.0,22.0,55.0,5.0,0.0,19.0,11.0,28.0,16.0,15.0,0.0,10.0,6.0,8.0,12.80952380952381,10.0,4.0,16.0,0.0,30.0
1989.0,18.0,13.0,30.0,NaN,45.0,4.0,13.0,5.0,15.0,74.0,17.0,22.0,34.0,25.0,16.0,48.0,2.0,45.0,56.0,17.0,5.0,12.0,24.571428571428573,17.0,13.0,34.0,4.0,56.0
1990.0,10.0,6.0,17.0,NaN,16.0,10.0,2.0,37.0,22.0,44.0,36.0,7.0,16.0,11.0,13.0,19.0,0.0,11.0,3.0,35.0,23.0,23.0,17.19047619047619,16.0,10.0,23.0,2.0,37.0
1991.0,24.0,23.0,10.0,NaN,35.0,13.0,10.0,3.0,27.0,16.0,23.0,0.0,6.0,13.0,17.0,41.0,2.0,4.0,3.0,14.0,19.0,18.0,15.285714285714286,14.0,6.0,23.0,2.0,35.0
1992.0,21.0,24.0,7.0,NaN,1.0,26.0,5.0,4.0,12.0,11.0,6.0,14.0,0.0,13.0,2.0,3.0,24.0,31.0,45.0,12.0,24.0,23.0,14.666666666666666,12.0,5.0,24.0,1.0,31.0
1993.0,4.0,9.0,15.0,NaN,4.0,1.0,27.0,0.0,20.0,11.0,10.0,26.0,8.0,14.0,9.0,10.0,10.0,42.0,0.0,11.0,12.0,13.0,12.19047619047619,10.0,8.0,14.0,0.0,27.0
1994.0,22.0,28.0,29.0,NaN,10.0,7.0,28.0,2.0,19.0,21.0,10.0,6.0,25.0,16.0,20.0,2.0,24.0,0.0,42.0,31.0,14.0,8.0,17.333333333333332,19.0,8.0,25.0,2.0,31.0
1995.0,5.0,7.0,17.0,NaN,11.0,1.0,5.0,7.0,20.0,40.0,10.0,30.0,5.0,7.0,14.0,14.0,1.0,10.0,25.0,25.0,21.0,22.0,14.142857142857142,11.0,7.0,21.0,1.0,30.0
1996.0,1.0,2.0,21.0,NaN,0.0,19.0,10.0,5.0,34.0,4.0,45.0,43.0,22.0,30.0,10.0,49.0,10.0,0.0,10.0,5.0,8.0,19.0,16.523809523809526,10.0,5.0,22.0,0.0,45.0
1997.0,39.0,21.0,4.0,NaN,14.0,3.0,6.0,5.0,7.0,23.0,3.0,0.0,43.0,15.0,26.0,14.0,5.0,25.0,0.0,11.0,17.0,12.0,13.952380952380953,12.0,5.0,21.0,0.0,39.0
1998.0,7.0,41.0,19.0,NaN,18.0,11.0,6.0,35.0,18.0,18.0,3.0,25.0,23.0,17.0,9.0,7.0,20.0,30.0,0.0,9.0,14.0,10.0,16.19047619047619,17.0,9.0,20.0,3.0,35.0
1999.0,37.0,33.0,1.0,NaN,62.0,17.0,11.0,32.0,17.0,27.0,68.0,0.0,12.0,40.0,17.0,14.0,10.0,2.0,4.0,14.0,7.0,11.0,20.761904761904763,14.0,10.0,32.0,1.0,62.0
2000.0,29.0,31.0,25.0,NaN,36.0,5.0,7.0,5.0,8.0,17.0,5.0,0.0,8.0,18.0,17.0,18.0,26.0,0.0,75.0,11.0,25.0,12.0,18.0,17.0,7.0,25.0,0.0,36.0
2001.0,38.0,24.0,17.0,NaN,22.0,20.0,15.0,22.0,32.0,16.0,16.0,0.0,6.0,7.0,14.0,19.0,47.0,0.0,24.0,32.0,13.0,27.0,19.571428571428573,19.0,14.0,24.0,0.0,38.0
2002.0,3.0,2.0,25.0,NaN,3.0,12.0,66.0,5.0,27.0,19.0,3.0,1.0,60.0,24.0,28.0,14.0,23.0,13.0,64.0,17.0,14.0,19.0,21.047619047619047,17.0,5.0,25.0,2.0,64.0
2003.0,9.0,19.0,31.0,NaN,20.0,34.0,3.0,39.0,15.0,2.0,0.0,25.0,6.0,7.0,24.0,11.0,25.0,0.0,1.0,35.0,6.0,21.0,15.857142857142858,15.0,6.0,25.0,0.0,35.0
2004.0,12.0,39.0,18.0,NaN,1.0,10.0,5.0,15.0,18.0,14.0,56.0,12.0,27.0,22.0,0.0,23.0,12.0,0.0,0.0,13.0,25.0,11.0,15.857142857142858,13.0,10.0,22.0,0.0,39.0
2005.0,19.0,2.0,25.0,NaN,16.0,40.0,14.0,10.0,16.0,3.0,7.0,34.0,4.0,19.0,22.0,15.0,19.0,32.0,0.0,8.0,5.0,31.0,16.238095238095237,16.0,7.0,22.0,2.0,34.0
2006.0,16.0,44.0,29.0,NaN,1.0,16.0,25.0,24.0,9.0,10.0,0.0,11.0,0.0,10.0,23.0,55.0,14.0,67.0,28.0,6.0,11.0,12.0,19.571428571428573,14.0,10.0,25.0,0.0,55.0
2007.0,11.0,19.0,9.0,NaN,19.0,34.0,2.0,11.0,7.0,17.0,1.0,32.0,25.0,30.0,3.0,19.0,44.0,12.0,24.0,18.0,17.0,31.0,18.333333333333332,18.0,11.0,25.0,2.0,34.0
2008.0,29.0,2.0,16.0,NaN,14.0,32.0,18.0,30.0,22.0,52.0,7.0,0.0,14.0,20.0,15.0,13.0,16.0,51.0,1.0,21.0,25.0,27.0,20.238095238095237,18.0,14.0,27.0,1.0,51.0
2009.0,14.0,21.0,19.0,NaN,14.0,22.0,6.0,32.0,19.0,9.0,4.0,16.0,51.0,13.0,25.0,6.0,18.0,54.0,4.0,10.0,12.0,23.0,18.666666666666668,16.0,10.0,22.0,4.0,51.0
2010.0,4.0,4.0,21.0,NaN,29.0,12.0,34.0,27.0,14.0,20.0,2.0,8.0,20.0,25.0,33.0,10.0,9.0,30.0,59.0,37.0,24.0,10.0,20.571428571428573,20.0,10.0,29.0,4.0,37.0
2011.0,14.0,16.0,17.0,NaN,6.0,22.0,34.0,24.0,7.0,18.0,19.0,3.0,30.0,15.0,14.0,16.0,0.0,0.0,38.0,41.0,35.0,12.0,18.142857142857142,16.0,12.0,24.0,0.0,38.0
2012.0,31.0,10.0,13.0,NaN,11.0,37.0,9.0,19.0,4.0,2.0,16.0,44.0,0.0,11.0,17.0,23.0,27.0,14.0,5.0,16.0,26.0,23.0,17.047619047619047,16.0,10.0,23.0,2.0,37.0
2013.0,31.0,0.0,8.0,NaN,9.0,4.0,59.0,19.0,37.0,19.0,49.0,33.0,6.0,27.0,34.0,14.0,26.0,15.0,2.0,21.0,46.0,17.0,22.666666666666668,19.0,9.0,33.0,2.0,49.0
2014.0,17.0,29.0,30.0,NaN,59.0,15.0,31.0,0.0,34.0,35.0,51.0,48.0,3.0,9.0,15.0,12.0,14.0,11.0,2.0,16.0,14.0,15.0,21.904761904761905,15.0,12.0,31.0,2.0,51.0
2015.0,23.0,49.0,19.0,NaN,9.0,3.0,43.0,26.0,21.0,27.0,11.0,22.0,20.0,39.0,38.0,22.0,17.0,42.0,0.0,5.0,7.0,22.0,22.142857142857142,22.0,11.0,27.0,3.0,43.0
2016.0,37.0,35.0,8.0,NaN,12.0,6.0,5.0,11.0,28.0,47.0,19.0,6.0,19.0,9.0,9.0,29.0,14.0,7.0,12.0,45.0,23.0,16.0,18.904761904761905,14.0,9.0,28.0,6.0,45.0
2017.0,21.0,30.0,30.0,NaN,9.0,15.0,28.0,12.0,12.0,66.0,35.0,33.0,0.0,23.0,39.0,49.0,24.0,35.0,6.0,33.0,72.0,43.0,29.285714285714285,30.0,15.0,35.0,6.0,66.0
2018.0,29.0,33.0,37.0,NaN,17.0,32.0,21.0,17.0,9.0,10.0,27.0,52.0,45.0,12.0,20.0,7.0,3.0,8.0,0.0,30.0,15.0,35.0,21.857142857142858,20.0,10.0,32.0,3.0,45.0
2019.0,12.0,36.0,25.0,NaN,29.0,12.0,33.0,13.0,17.0,10.0,22.0,44.0,60.0,8.0,41.0,22.0,25.0,81.0,1.0,60.0,37.0,12.0,28.571428571428573,25.0,12.0,37.0,8.0,60.0
2020.0,34.0,37.0,41.0,NaN,32.0,9.0,26.0,28.0,5.0,13.0,12.0,30.0,23.0,11.0,10.0,62.0,11.0,14.0,0.0,18.0,36.0,21.0,22.523809523809526,21.0,11.0,32.0,5.0,41.0
2021.0,60.0,45.0,59.0,NaN,5.0,21.0,11.0,15.0,12.0,47.0,0.0,22.0,30.0,35.0,13.0,43.0,24.0,53.0,0.0,21.0,11.0,20.0,26.047619047619047,21.0,12.0,43.0,0.0,59.0
2022.0,6.0,21.0,19.0,NaN,3.0,57.0,15.0,6.0,42.0,26.0,50.0,49.0,3.0,43.0,20.0,43.0,15.0,33.0,0.0,18.0,45.0,11.0,25.0,20.0,11.0,43.0,3.0,50.0
2023.0,24.0,84.0,20.0,NaN,7.0,20.0,44.0,0.0,20.0,40.0,35.0,46.0,14.0,25.0,16.0,39.0,21.0,18.0,0.0,31.0,0.0,23.0,25.095238095238095,21.0,16.0,35.0,0.0,46.0
2024.0,37.0,46.0,21.0,NaN,42.0,25.0,34.0,6.0,14.0,25.0,62.0,43.0,24.0,52.0,16.0,27.0,21.0,1.0,1.0,25.0,17.0,38.0,27.476190476190474,25.0,17.0,38.0,1.0,52.0
2025.0,22.0,85.0,23.0,NaN,17.0,51.0,21.0,8.0,26.0,63.0,66.0,7.0,36.0,6.0,40.0,43.0,28.0,69.0,0.0,23.0,35.0,22.0,32.904761904761905,26.0,21.0,43.0,6.0,69.0
2026.0,5.0,15.0,20.0,NaN,17.0,10.0,26.0,25.0,8.0,21.0,76.0,33.0,7.0,29.0,32.0,26.0,22.0,22.0,9.0,33.0,38.0,29.0,23.952380952380953,22.0,15.0,29.0,7.0,38.0
2027.0,29.0,65.0,37.0,NaN,17.0,12.0,25.0,34.0,39.0,79.0,5.0,39.0,29.0,62.0,35.0,71.0,31.0,51.0,36.0,32.0,37.0,16.0,37.19047619047619,35.0,29.0,39.0,12.0,71.0
2028.0,37.0,67.0,23.0,NaN,38.0,18.0,5.0,43.0,36.0,27.0,31.0,9.0,47.0,19.0,40.0,23.0,22.0,15.0,29.0,12.0,19.0,24.0,27.80952380952381,24.0,19.0,37.0,9.0,47.0
2029.0,28.0,57.0,32.0,NaN,24.0,74.0,3.0,5.0,38.0,47.0,37.0,17.0,12.0,21.0,16.0,51.0,32.0,19.0,11.0,46.0,16.0,26.0,29.142857142857142,26.0,16.0,38.0,5.0,57.0
2030.0,7.0,54.0,28.0,NaN,13.0,26.0,18.0,47.0,5.0,57.0,43.0,0.0,6.0,42.0,39.0,67.0,21.0,0.0,1.0,14.0,19.0,25.0,25.333333333333332,21.0,7.0,42.0,0.0,57.0
2031.0,31.0,19.0,48.0,NaN,53.0,35.0,24.0,42.0,9.0,79.0,11.0,14.0,25.0,25.0,17.0,68.0,3.0,3.0,1.0,23.0,46.0,48.0,29.714285714285715,25.0,14.0,46.0,3.0,68.0
2032.0,48.0,47.0,31.0,NaN,10.0,11.0,18.0,17.0,26.0,37.0,19.0,17.0,21.0,12.0,17.0,55.0,22.0,42.0,0.0,23.0,28.0,24.0,25.0,22.0,17.0,31.0,10.0,48.0
2033.0,31.0,13.0,30.0,NaN,42.0,31.0,18.0,27.0,20.0,50.0,66.0,19.0,44.0,24.0,37.0,81.0,34.0,61.0,11.0,50.0,15.0,31.0,35.0,31.0,20.0,44.0,13.0,66.0
